"regunit","region","trstprl","trstlgl","trstplc","trstplt","trstprt","freehms","hmsfmlsh","hmsacld","eqwrkbg","eqpolbg","eqmgmbg","eqpaybg"
2,"AT13",4,6,6,2,2,1,5,1,3,4,4,6
2,"AT13",6,8,5,3,3,1,5,1,6,6,6,6
2,"AT33",0,3,8,2,2,4,1,3,5,4,4,4
2,"AT12",3,7,9,0,0,1,5,1,3,3,4,6
2,"AT31",2,4,9,5,4,2,3,4,4,3,2,4
2,"AT31",4,5,6,2,2,5,1,5,2,3,3,5
2,"AT34",2,6,6,2,3,3,3,3,3,3,4,5
2,"AT12",6,6,8,5,6,2,3,8,6,6,6,6
2,"AT13",9,9,8,5,4,2,4,2,5,4,4,6
2,"AT12",6,8,10,1,1,3,3,3,2,3,4,6
2,"AT22",3,88,8,4,4,2,4,2,4,2,5,4
2,"AT31",3,3,3,0,0,1,5,2,4,4,4,6
2,"AT12",9,9,9,9,8,1,5,1,6,6,6,6
2,"AT13",2,6,5,2,2,1,5,1,4,6,6,6
2,"AT12",5,8,9,4,2,2,5,3,5,3,3,5
2,"AT11",9,9,9,9,9,1,5,1,6,6,6,6
2,"AT11",6,7,9,5,3,2,5,2,6,3,2,5
2,"AT31",6,10,10,3,3,2,4,2,6,6,6,6
2,"AT33",7,6,6,3,3,1,5,2,5,6,6,6
2,"AT13",3,4,6,2,2,1,4,2,1,4,4,5
2,"AT21",6,8,8,4,4,1,5,2,3,4,5,4
2,"AT12",3,5,5,1,1,1,5,1,4,6,6,6
2,"AT13",4,4,4,3,3,1,5,5,6,4,4,4
2,"AT12",7,6,6,7,3,5,7,7,3,2,2,2
2,"AT32",3,8,10,5,5,2,3,3,3,5,3,5
2,"AT31",1,5,7,1,0,2,3,3,5,3,3,3
2,"AT33",1,0,0,0,0,1,5,2,3,4,5,6
2,"AT31",5,7,7,5,5,2,4,8,6,5,5,5
2,"AT34",3,2,8,1,2,4,3,5,3,3,2,2
2,"AT33",0,5,10,0,0,1,5,1,3,4,3,6
2,"AT12",5,8,10,2,2,2,3,2,5,5,5,5
2,"AT12",10,10,10,10,10,3,3,3,5,6,5,5
2,"AT22",5,7,8,3,2,2,4,2,5,3,4,6
2,"AT21",5,5,8,3,3,2,5,2,6,4,3,6
2,"AT31",5,7,6,5,5,2,4,4,2,3,3,3
2,"AT13",9,8,9,6,6,3,4,4,2,3,3,3
2,"AT22",7,9,8,5,5,1,5,1,6,6,6,6
2,"AT31",0,10,10,0,0,1,3,1,6,6,6,6
2,"AT11",3,8,8,1,1,2,4,4,5,6,5,6
2,"AT11",5,5,7,5,5,2,4,5,5,8,8,6
2,"AT13",5,8,8,4,4,1,1,1,6,4,5,6
2,"AT22",7,8,9,5,6,1,5,2,4,5,5,6
2,"AT12",5,9,9,5,3,2,7,3,6,3,3,6
2,"AT32",7,9,7,8,8,3,2,2,4,6,6,6
2,"AT33",4,6,8,6,6,1,1,1,3,5,5,4
2,"AT32",7,9,8,6,7,3,1,2,3,4,2,4
2,"AT31",7,8,8,2,6,2,3,3,0,4,5,4
2,"AT11",3,7,7,5,5,2,4,3,3,8,6,6
2,"AT22",6,10,10,3,6,2,4,4,3,3,3,4
2,"AT12",3,7,7,2,2,2,3,3,4,4,3,6
2,"AT21",1,1,2,2,2,1,5,1,3,6,6,6
2,"AT12",4,7,8,4,3,2,4,3,4,2,2,5
2,"AT22",5,5,1,2,2,1,5,1,6,6,6,6
2,"AT33",5,3,5,5,5,2,4,3,6,1,2,6
2,"AT22",5,6,7,3,5,1,5,1,6,6,6,6
2,"AT13",4,6,7,1,1,1,5,5,2,5,5,8
2,"AT12",3,5,6,2,2,2,5,3,8,4,4,5
2,"AT13",2,2,4,0,0,2,3,3,4,3,4,6
2,"AT13",7,8,8,5,5,2,5,2,6,5,8,5
2,"AT13",6,5,8,2,2,2,5,2,3,4,3,4
2,"AT32",6,7,10,4,4,1,4,4,4,3,3,4
2,"AT33",0,1,4,2,2,1,1,1,5,6,6,6
2,"AT13",9,9,10,10,8,2,4,2,5,5,5,6
2,"AT34",5,7,9,2,2,3,3,4,4,4,4,6
2,"AT33",2,4,4,1,1,2,2,2,5,8,8,5
2,"AT12",4,4,8,1,3,2,4,4,4,6,5,5
2,"AT32",6,10,10,2,2,1,4,1,4,6,6,4
2,"AT31",10,10,10,10,10,2,4,2,6,6,6,6
2,"AT31",6,7,8,5,5,2,4,3,6,5,5,6
2,"AT12",7,7,10,5,6,2,4,4,4,6,6,6
2,"AT32",4,10,4,4,4,2,4,2,2,4,5,5
2,"AT13",7,8,8,5,5,2,4,5,4,3,3,4
2,"AT12",6,6,7,4,4,1,5,1,6,6,6,6
2,"AT31",0,5,5,0,0,2,4,3,3,3,2,3
2,"AT22",6,8,9,2,0,2,5,4,3,5,3,4
2,"AT13",8,9,10,3,3,1,5,2,5,4,4,5
2,"AT11",0,0,0,0,0,1,5,1,5,4,5,6
2,"AT12",1,4,6,0,0,1,5,5,6,5,6,6
2,"AT13",5,7,8,2,2,4,1,5,1,3,2,6
2,"AT13",6,6,3,3,3,1,5,1,2,3,3,6
2,"AT31",7,88,8,3,3,3,8,3,3,4,4,5
2,"AT11",7,7,7,7,7,1,5,1,5,5,6,5
2,"AT33",0,2,4,2,4,3,4,2,3,5,4,3
2,"AT31",5,6,7,3,3,5,1,5,3,1,1,3
2,"AT33",2,5,8,2,2,1,5,1,5,5,5,4
2,"AT12",3,2,6,1,2,3,8,4,5,5,5,5
2,"AT12",6,7,8,5,5,2,4,2,1,4,4,5
2,"AT12",5,7,7,3,3,1,4,1,1,3,3,4
2,"AT13",3,10,4,4,4,2,1,2,6,6,6,6
2,"AT13",3,6,6,1,1,2,4,4,5,4,4,6
2,"AT13",7,9,8,4,3,1,5,1,5,5,5,5
2,"AT31",88,7,5,1,1,8,3,4,3,8,8,8
2,"AT33",1,4,6,1,1,2,4,8,2,1,2,3
2,"AT13",5,7,8,4,2,1,5,3,3,4,4,4
2,"AT21",7,9,9,5,5,1,5,2,3,6,5,5
2,"AT13",5,7,7,3,3,2,4,2,3,5,5,6
2,"AT22",7,10,10,5,3,1,5,2,4,5,5,5
2,"AT32",0,0,8,0,0,1,5,3,3,5,5,0
2,"AT21",1,6,6,1,1,1,5,1,2,6,6,6
2,"AT12",2,3,5,2,2,1,5,1,3,6,6,6
2,"AT12",6,6,8,5,6,2,5,4,6,6,6,6
2,"AT12",8,9,8,5,5,1,5,1,5,5,6,6
2,"AT33",3,5,5,3,4,1,5,1,3,5,4,5
2,"AT31",7,9,9,6,6,3,3,4,4,3,3,3
2,"AT33",3,4,5,1,3,5,1,5,0,1,1,1
2,"AT32",6,7,7,5,4,1,5,1,6,6,6,6
2,"AT21",0,7,8,3,3,8,8,8,3,3,3,4
2,"AT12",3,6,8,3,2,1,5,2,6,6,5,6
2,"AT12",5,6,7,2,2,1,5,2,3,4,5,6
2,"AT13",8,9,9,6,6,2,3,3,3,3,3,3
2,"AT31",7,9,9,5,5,2,4,2,6,6,3,3
2,"AT21",5,9,9,5,5,2,5,8,8,8,8,3
2,"AT12",7,7,8,7,7,1,5,2,6,6,6,6
2,"AT12",6,7,8,3,2,2,4,2,5,2,3,5
2,"AT12",6,6,8,5,6,2,4,8,6,5,5,6
2,"AT31",3,7,7,5,4,2,4,2,6,6,6,6
2,"AT22",6,8,8,3,2,1,2,3,2,3,1,5
2,"AT31",7,9,8,5,6,2,8,8,6,6,6,6
2,"AT33",4,4,5,2,2,1,5,1,2,5,5,6
2,"AT13",3,5,7,1,1,2,4,2,8,1,1,6
2,"AT13",3,7,9,2,1,2,1,4,3,5,5,6
2,"AT31",1,0,10,4,5,3,2,4,3,5,4,5
